ID,title,year,director,lb_url,letterboxd_rating,lb_avg,imdb_rating,imdb_avg,tomatometer,rt_avg,metascore,mc_avg,tmdb_rating,tmdb_avg
54,The French Connection,1971,William Friedkin,https://letterboxd.com/film/the-french-connection/,4,3.9,7.7,7.8,97,89,94,84,75,75
53,The Godfather,1972,Francis Ford Coppola,https://letterboxd.com/film/the-godfather/,4.5,3.9,9.2,7.8,97,89,100,84,87,75
52,The Sting,1973,George Roy Hill,https://letterboxd.com/film/the-sting/,4.2,3.9,8.3,7.8,93,89,83,84,80,75
51,The Godfather Part II,1974,Francis Ford Coppola,https://letterboxd.com/film/the-godfather-part-ii/,4.6,3.9,9,7.8,96,89,90,84,86,75
50,One Flew Over the Cuckoo's Nest,1975,Milos Forman,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/,4.4,3.9,8.7,7.8,93,89,84,84,84,75
49,Rocky,1976,John G. Avildsen,https://letterboxd.com/film/rocky/,4.1,3.9,8.1,7.8,93,89,70,84,78,75
48,Annie Hall,1977,Woody Allen,https://letterboxd.com/film/annie-hall/,4,3.9,7.9,7.8,97,89,92,84,77,75
47,The Deer Hunter,1978,Michael Cimino,https://letterboxd.com/film/the-deer-hunter/,4.2,3.9,8.1,7.8,86,89,90,84,80,75
46,Kramer vs. Kramer,1979,Robert Benton,https://letterboxd.com/film/kramer-vs-kramer/,4.1,3.9,7.8,7.8,90,89,77,84,76,75
45,Ordinary People,1980,Robert Redford,https://letterboxd.com/film/ordinary-people/,4,3.9,7.7,7.8,89,89,86,84,75,75
44,Chariots of Fire,1981,Hugh Hudson,https://letterboxd.com/film/chariots-of-fire/,3.4,3.9,7.1,7.8,84,89,78,84,68,75
43,Gandhi,1982,Richard Attenborough,https://letterboxd.com/film/gandhi/,3.7,3.9,8,7.8,89,89,79,84,76,75
42,Terms of Endearment,1983,James L. Brooks,https://letterboxd.com/film/terms-of-endearment/,3.8,3.9,7.4,7.8,81,89,79,84,71,75
41,Amadeus,1984,Milos Forman,https://letterboxd.com/film/amadeus/,4.3,3.9,8.4,7.8,90,89,87,84,80,75
40,Out of Africa,1985,Sydney Pollack,https://letterboxd.com/film/out-of-africa/,3.4,3.9,7.1,7.8,62,89,69,84,72,75
39,Platoon,1986,Oliver Stone,https://letterboxd.com/film/platoon/,4,3.9,8.1,7.8,89,89,92,84,77,75
38,The Last Emperor,1987,Bernardo Bertolucci,https://letterboxd.com/film/the-last-emperor/,3.9,3.9,7.7,7.8,86,89,76,84,76,75
37,Rain Man,1988,Barry Levinson,https://letterboxd.com/film/rain-man/,3.9,3.9,8,7.8,88,89,65,84,78,75
36,Driving Miss Daisy,1989,Bruce Beresford,https://letterboxd.com/film/driving-miss-daisy/,3.3,3.9,7.3,7.8,85,89,81,84,72,75
35,Dances with Wolves,1990,Kevin Costner,https://letterboxd.com/film/dances-with-wolves/,3.9,3.9,8,7.8,87,89,72,84,78,75
34,The Silence of the Lambs,1991,Jonathan Demme,https://letterboxd.com/film/the-silence-of-the-lambs/,4.3,3.9,8.6,7.8,95,89,86,84,83,75
33,Unforgiven,1992,Clint Eastwood,https://letterboxd.com/film/unforgiven/,4.2,3.9,8.2,7.8,96,89,85,84,79,75
32,Schindler's List,1993,Steven Spielberg,https://letterboxd.com/film/schindlers-list/,4.5,3.9,9,7.8,98,89,95,84,86,75
31,Forrest Gump,1994,Robert Zemeckis,https://letterboxd.com/film/forrest-gump/,4.1,3.9,8.8,7.8,75,89,82,84,85,75
30,Braveheart,1995,Mel Gibson,https://letterboxd.com/film/braveheart/,3.9,3.9,8.3,7.8,76,89,68,84,79,75
29,The English Patient,1996,Anthony Minghella,https://letterboxd.com/film/the-english-patient/,3.6,3.9,7.4,7.8,86,89,86,84,72,75
28,Titanic,1997,James Cameron,https://letterboxd.com/film/titanic-1997/,3.8,3.9,7.9,7.8,88,89,75,84,79,75
27,Shakespeare in Love,1998,John Madden,https://letterboxd.com/film/shakespeare-in-love/,3.3,3.9,7.1,7.8,92,89,87,84,69,75
26,American Beauty,1999,Sam Mendes,https://letterboxd.com/film/american-beauty/,4,3.9,8.3,7.8,87,89,84,84,80,75
25,Gladiator,2000,Ridley Scott,https://letterboxd.com/film/gladiator-2000/,4.1,3.9,8.5,7.8,80,89,67,84,82,75
24,A Beautiful Mind,2001,Ron Howard,https://letterboxd.com/film/a-beautiful-mind/,3.8,3.9,8.2,7.8,74,89,72,84,79,75
23,Chicago,2002,Rob Marshall,https://letterboxd.com/film/chicago/,4,3.9,7.2,7.8,87,89,81,84,71,75
22,The Lord of the Rings: The Return of the King,2003,Peter Jackson,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,4.5,3.9,9,7.8,94,89,94,84,85,75
21,Million Dollar Baby,2004,Clint Eastwood,https://letterboxd.com/film/million-dollar-baby/,4,3.9,8.1,7.8,90,89,86,84,80,75
20,Crash,2005,Paul Haggis,https://letterboxd.com/film/crash-2004/,3,3.9,7.7,7.8,73,89,66,84,72,75
19,The Departed,2006,Martin Scorsese,https://letterboxd.com/film/the-departed/,4.3,3.9,8.5,7.8,91,89,85,84,82,75
18,No Country for Old Men,2007,"Ethan Coen, Joel Coen",https://letterboxd.com/film/no-country-for-old-men/,4.3,3.9,8.2,7.8,93,89,92,84,79,75
17,Slumdog Millionaire,2008,"Danny Boyle, Loveleen Tandan",https://letterboxd.com/film/slumdog-millionaire/,3.9,3.9,8,7.8,91,89,84,84,77,75
16,The Hurt Locker,2009,Kathryn Bigelow,https://letterboxd.com/film/the-hurt-locker/,3.8,3.9,7.5,7.8,96,89,95,84,73,75
15,The King's Speech,2010,Tom Hooper,https://letterboxd.com/film/the-kings-speech/,3.8,3.9,8,7.8,94,89,88,84,77,75
13,Argo,2012,Ben Affleck,https://letterboxd.com/film/argo/,3.7,3.9,7.7,7.8,96,89,86,84,73,75
